Document,Summary,Model output
"As a valued client, I am interested in attending any financial education programs or seminars organized by the bank. Kindly provide me with information regarding upcoming events.",I want information on financial education programs, Request for Financial Education Events
I currently hold multiple accounts with our bank and would like to explore the possibility of consolidating them into a single account for ease of management. Can you please advise me on the steps required to proceed?,I want to merge my accounts into a single one," Yes, I can help with that. Here are the general steps you can take to consolidate your multiple accounts into a single account:

1. Review your account activity and balance details to determine which accounts you want to consolidate.
2. Contact your bank's customer service department or visit their"
I am a small business owner and require financial assistance to expand my operations. I am interested in applying for a business loan and would appreciate guidance on the necessary documentation and eligibility criteria.,I want a loan to expand my business, Financial assistance sought for expansion.
"I am writing to express my interest in exploring the possibility of obtaining a mortgage through our esteemed bank. I have been diligently saving for a new home, and I believe that our bank's mortgage services could provide the financial assistance I require.

I kindly request your guidance and support in this matter. Could you please provide me with detailed information regarding the various mortgage options available? Additionally, I would greatly appreciate your assistance in guiding me through the application process, ensuring that I meet all the necessary requirements and submit the required documents.

Thank you for your attention to this matter. I look forward to discussing further details and beginning the mortgage application process.

Yours sincerely.",I want to apply for a mortgage," Seeking Mortgage Assistance, Express Interest in Bank's Services."
"As a valued client of our bank, I am reaching out to seek your expert advice and guidance regarding potential investment opportunities.

After careful consideration, I have decided to allocate a portion of my savings towards investments that align with my long-term financial goals. However, I am in need of professional advice to ensure that I make informed decisions based on my risk appetite and desired returns.

I kindly request a meeting with an experienced investment advisor from our bank. I would greatly appreciate the opportunity to discuss my investment objectives in detail and explore suitable investment options. Additionally, if there are any specific documents or information I should bring to the meeting, please let me know.

Thank you for your attention to this matter. I eagerly await your response and the opportunity to meet with an investment advisor.

Warm regards.",I want to receive advice on investing, Seeking expert advice on potential investments.
"I am writing to kindly request an updated account statement for my account with our bank. As part of my personal financial planning, I require a comprehensive overview of my account activity for the past six months.

I would greatly appreciate it if you could arrange for the account statement to be sent to me either via email or by post. Additionally, if there are any specific details or formatting preferences I should provide, please let me know.

Thank you for your prompt attention to this matter. I look forward to receiving the account statement and continuing to manage my finances effectively.

Best regards.",I want an updated account statement, Request account statement for past six months.
"I trust this message finds you well. I am writing to discuss a pressing matter that requires your attention. Due to unforeseen circumstances, I find myself in need of a temporary overdraft facility to cover unexpected expenses.

Considering the long-standing relationship I have with our bank and my strong credit history, I am hopeful that the bank can provide the necessary financial assistance during this challenging time. I kindly request your guidance on the requirements and application process for obtaining an overdraft facility.

Furthermore, if there are any specific documents or supporting information I need to provide, please let me know, and I will ensure their timely submission.

Thank you for your understanding and prompt assistance. I trust that with your support, I will be able to navigate this situation effectively.

Yours sincerely.",I want an overdraft facility due to unexpected expenses, Seeking Overdraft Assistance.
"I am writing to inform you that I have made the decision to close my account with our bank. This decision has been carefully considered and stems from personal circumstances and financial considerations.

I kindly request your guidance and assistance in initiating the account closure process. It would be helpful if you could provide me with the necessary instructions, paperwork, and any specific requirements that need to be fulfilled.

Thank you for your understanding and cooperation. I look forward to completing the account closure process smoothly with your guidance.

Best regards.",I want to close my account, Closing an Account
"Lately, I have encountered a decline in the level of customer service that I have come to expect from our bank. It is disheartening to face long waiting times on phone calls and delays in responses to my queries and concerns. I believe it is essential for the bank to ensure prompt and efficient customer service, as it reflects the bank's commitment to client satisfaction.",Customer service quality has decreased, Decline in bank customer service.
"While our bank has made significant strides in adopting digital banking solutions, I have noticed certain shortcomings that hinder the smooth and seamless banking experience. There have been instances where online transactions have been slow or faced technical glitches, causing unnecessary inconvenience. I would appreciate a review of the bank's technology infrastructure to identify areas that require improvement.",The digital banking experience is slow and doesn't work properly, Identify and improve tech issues for better digital banking experience.
