Document,Summary,Model output
the sri lankan government on wednesday announced the closure of government schools with immediate effect as a military campaign against tamil separatists escalated in the north of the country .,sri lanka closes schools as war escalates, Government closes schools due to conflict.
"police arrested five anti-nuclear protesters thursday after they sought to disrupt loading of a french antarctic research and supply vessel , a spokesman for the protesters said .",protesters target french research ship, Anti-nuclear protesters arrested at French Antarctic ship.
"factory orders for manufactured goods rose #.# percent in september , the commerce department said here thursday .",us september factory orders up #.# percent, Factory Orders Increased by %.
japan 's toyota team europe were banned from the world rally championship for one year here on friday in a crushing ruling by the world council of the international automobile federation -lrb- fia -rrb- .,toyota are banned for a year, Toyota team banned from WRC for one year.
"israel prepared sunday for prime minister yitzhak rabin 's state funeral which will be attended by a host of world leaders , including us president bill clinton and the jordanian and egyptian heads of state .",israel prepares jerusalem state funeral for rabin, Yitzhak Rabin's State Funeral to be held on Sunday with Attendance from World Leaders.
indian prime minister p.v. narasimha rao 's promise of more autonomy for troubled kashmir and his plea for early state elections has sparked a violent reaction from provincial moslem and opposition parties .,indian pm 's announcement on kashmir polls autonomy sparks outrage, P.V. Narasimha Rao's promise of more autonomy for Kashmir sparks violence.
"turnout was heavy for parliamentary elections monday in trinidad and tobago after a month of intensive campaigning throughout the country , one of the most prosperous in the caribbean .",trinidad and tobago poll draws heavy turnout by john babb, Parliamentary elections held; heavy turnout reported.
jordan 's crown prince hassan ibn talal arrived tuesday for his first visit to jerusalem and was to pay his condolences to the widow of assassinated prime minister yitzhak rabin .,jordan 's crown prince makes first visit to jerusalem, Crown Prince Hassan arrives in Jerusalem.
poland 's main opposition party tuesday endorsed president lech walesa in an upcoming presidential run-off election after a reformed communist won the first round of voting .,walesa receives opposition boost, Lech Walesa to face run-off.
"the rand gained ground against the dollar at the opening here wednesday , to #.#### \/ ## to the greenback from #.#### \/ ## at the close tuesday .",rand gains ground," USD weakened vs Rands at open today, up from previous closing price."
"arbitrary arrests , torture , prisoners dying in detention and the death penalty are current practices in guinea , human rights organization amnesty international said thursday in a report published here .",amnesty deplores human rights violations in guinea," Guinea: Arbitrary arrests, torture, prisoner deaths in detention, and use of death penalty. Amnesty International reports."
"a young syrian woman who was arrested last year on terrorism charges at the airport here had a map of us military facilities in turkey , a canadian security official said thursday .",canada investigates syrian woman with alleged ties to pkk, Syrian woman arrested for terrorism has US military facility map.
hong kong signed a breakthrough air services agreement with the united states on friday that will allow us airlines to carry freight to asian destinations via the territory .,hong kong us sign breakthrough aviation pact, US-HK Air Services Agreement allows for freight transport to Asian destinations via Hong Kong.
a us citizen who spied for communist east germany was given a suspended jail sentence of ## months here friday .,us citizen who spied for east germans given suspended sentence," US citizen spies for East Germany, given suspended sentence."
"france , still high after their convincing ##-## win over new zealand have named the same team for the second test next saturday in paris .",french keep same team for #nd test, France retains winning lineup for Paris test.
